,route-number,description,url
66,224X - Elizabeth Interchange to City,"via Philip Hwy, Lyell McEwin Hospital, Salisbury, Salisbury Hwy and Mawson Lakes then express from stop 29 Main North Rd, Gepps Cross to stop 4 O'Connell St, North Adelaide (operates Monday-Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F224x&auth=xITi7vQvV7OP3%2FuNk30kag&profile=_default&rank=67&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
67,225 - Salisbury Interchange to Gepps Cross,"via Frost Rd, Kesters Rd, Mawson Lakes and Port Wakefield Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F225&auth=Jf%2B8%2FU5SQANCZcwevq6lpw&profile=_default&rank=68&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
68,225F - Salisbury Interchange to City,"via Frost Rd, Kesters Rd, Mawson Lakes, Port Wakefield Rd and Main North Rd (limited stop service, operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F225f&auth=AkfiNX2XUgir5C2zvAl3rg&profile=_default&rank=69&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
69,225M - Salisbury Interchange to Mawson Interchange,"via Frost Rd, Kesters Rd and Mawson Lakes (terminates at Mawson Interchange)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F225m&auth=rBTZAp5ZbuXnuz3XSlbeEw&profile=_default&rank=70&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
70,225X - Salisbury Interchange to City,"via Frost Rd, Kesters Rd and Mawson Lakes, then express from Mawson Interchange to stop 29 Main North Rd, Gepps Cross then express to stop 4 O'Connell St, North Adelaide (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F225x&auth=onluYJu6LCMhLMZ2nNkZqQ&profile=_default&rank=71&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
71,228 - Smithfield Interchange to City,via Midway Rd and Main North Rd,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F228&auth=gMEy%2BsSuYh3%2BdJIPg15D8w&profile=_default&rank=72&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
72,228F - Smithfield Interchange to City,"via Midway Rd and Main North Rd (limited stop service, operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F228f&auth=p%2FAp1fbxmy%2FcLdumm8LfQA&profile=_default&rank=73&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
73,228X - Smithfield Interchange to City,"via Midway Rd and Main North Rd then express from stop 29 Main North Rd, Gepps Cross to stop 4 O'Connell St, North Adelaide (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F228x&auth=YqQkLGch%2BLGkpXDIQaU3mg&profile=_default&rank=74&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
74,229 - Para Hills to Gepps Cross,"via Kimba Rd, Baloo St and Main North Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F229&auth=3yCPeje7ZRkdsfSYTdVHIg&profile=_default&rank=75&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
75,229F - Para Hills to City,"via Kimba Rd, Baloo St and Main North Rd (limited stop service, operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F229f&auth=vDQuLCYHtnxcd7wIrkHjcA&profile=_default&rank=76&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
76,229X - Para Hills to City,"via Pooraka and Main North Rd then express from stop 29 Main North Rd, Gepps Cross to stop 4 O'Connell St, North Adelaide (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F229x&auth=0vvMA%2BOUlEbNR6vaV6OPFw&profile=_default&rank=77&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
77,230 - Port Adelaide Interchange to City,"via Addison Rd, Arndale, Regency Rd, Torrens Rd and Jeffcott St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F230&auth=tE0mQMAlj4GkOu8jmFcWAw&profile=_default&rank=78&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
78,232 - Port Adelaide Interchange to City,"via Newcastle St, Arndale, Regency Rd, Torrens Rd and Jeffcott St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F232&auth=GoTxcRZUKc%2BKkTqU%2BHuXAQ&profile=_default&rank=79&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
79,232R - City to Rosewater,"via Jeffcott St, Torrens Rd, Regency Rd, Arndale, Newcastle St and Grand Junction Rd (terminates at stop 36G Grand Junction Rd, Rosewater)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F232r&auth=PU0tut1qZSw%2BHEwIHV6mzA&profile=_default&rank=80&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
80,235 - Kilburn to City,via Churchill Rd and Jeffcott St,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F235&auth=fG%2FRkOMzCVhPQhDRW7bg9g&profile=_default&rank=81&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
81,238 - UniSA Mawson Lakes Campus to City,via Churchill Rd and Jeffcott St (operates Monday - Friday excluding public holidays),https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F238&auth=h0Bu0YNKEUuX4wYJUm8I8w&profile=_default&rank=82&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
82,239 - Arndale Centre Interchange to City,"via Days Rd, Churchill Rd and Jeffcott St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F239&auth=nq8kkADQh2lqBWcZ5HT6Yg&profile=_default&rank=83&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
83,241 - Marion Centre Interchange to City,"via Morphett Rd, Oaklands Rd and Everard Ave",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F241&auth=1P1%2FDvICyPeYPtKZi24IAA&profile=_default&rank=84&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
84,241A - City to Oaklands Park,"via Everard Ave and Oaklands Rd (terminates at stop 24 Oaklands Rd, Oaklands Park)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F241a&auth=mM9d%2F%2FGECqjsQXW4cHOFVg&profile=_default&rank=85&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
85,245 - Hove to City,"via Dunrobin Rd, Morphett Rd, Bray St, Marion Rd and Anzac Hwy (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F245&auth=7Ac8Hxn%2FFdfBs%2BiwjLFgBA&profile=_default&rank=86&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
86,248 - Marion Centre Interchange to City,"via Diagonal Rd, Oaklands Rd, Hendrie St and Anzac Hwy",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F248&auth=LnWpZP%2Bv%2F7%2Bhj%2BSin%2Fa84w&profile=_default&rank=87&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
87,248A - City to Oaklands Park,"via Anzac Hwy, Hendrie St and Oaklands Rd (terminates at stop 24 Oaklands Rd, Oaklands Park)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F248a&auth=3dlD8WO1aWZdjM1qI4q1Uw&profile=_default&rank=88&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
88,248F - Marion Centre Interchange to City,"via Diagonal Rd, Oaklands Rd, Hendrie St and Anzac Hwy (limited stop service, operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F248f&auth=ZZp1U0d82pexSg50zje%2FHA&profile=_default&rank=89&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
89,251 - Mansfield Park to City,"via Medika Blvd, Liberty Gr, Arndale and Hawker St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F251&auth=De5eViRbDUh8aR4RLg%2BTcA&profile=_default&rank=90&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
90,251A - Mansfield Park to Arndale Centre Interchange,"via Medika Blvd, Liberty Gr and Arndale (terminates at Arndale Centre Interchange)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F251a&auth=r%2BYo7qJcFptUPpJ7GxmG5g&profile=_default&rank=91&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
91,252 - Port Adelaide Interchange to City,"via Ottoway, Medika Blvd, Liberty Gr, Arndale and Hawker St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F252&auth=vuHrYRY9jw9gHz%2BRw9Uumw&profile=_default&rank=92&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
92,252A - Port Adelaide Interchange to Arndale Centre Interchange,"via Ottoway, Medika Blvd, Liberty Gr and Arndale (terminates at Arndale Centre Interchange)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F252a&auth=yInWDTQ3Pz%2Bg3ifF7dbcyA&profile=_default&rank=93&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
93,253 - Mansfield Park to City,"via Hanson Rd, Arndale and Hawker St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F253&auth=V5zu5cqMRdVB8GFhEBQ9bw&profile=_default&rank=94&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
94,253X - Mansfield Park to City,"via Hanson Rd and Arndale then express to stop 2 King William Rd, city (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F253x&auth=MkJnLtoFD%2FlLysXVBm5tgg&profile=_default&rank=95&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
95,254 - Port Adelaide Interchange to City,"via Grand Junction Rd, Hanson Rd, Arndale and Hawker St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F254&auth=micZFEQ5ZXe67MQGzV0m7g&profile=_default&rank=96&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
96,254X - Port Adelaide Interchange to City,"via Grand Junction Rd, Hanson Rd and Arndale then express to stop 2 King William Rd, city (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F254x&auth=R1Pmd0tOgJ1k3ptvkS5BtA&profile=_default&rank=97&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
97,262 - Marion Centre Interchange to City,"via Brighton Station, Brighton Rd and Anzac Hwy (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F262&auth=197TmqliOp%2Bccwusa8MENQ&profile=_default&rank=98&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
98,263 - Marion Centre Interchange to City,"via Dunrobin Rd, Brighton Rd and Anzac Hwy",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F263&auth=PC7ASWRFNkXiMKC31SMuNA&profile=_default&rank=99&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
99,263A - City to Warradale,"via Anzac Hwy, Brighton Rd and Dunrobin Rd (terminates at stop 38 Dunrobin Rd, Warradale and operates Sunday - Friday)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F263a&auth=OtTxLQxUPHSKebWEUxp9TA&profile=_default&rank=100&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
100,265 - Marion Centre Interchange to City,"via Brighton Station, Somerton Park, Glenelg and Anzac Hwy",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F265&auth=cvjfpk2uoJUimF0FJTUjmA&profile=_default&rank=101&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
101,265W - City to Somerton Park,"via Anzac Hwy, Glenelg and Somerton Park (terminates at Stop 28 Whyte St, Somerton Park)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F265w&auth=p2%2BewNVgI5ppE2F6VrJPuA&profile=_default&rank=102&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
102,271 - Tea Tree Plaza Interchange to City,"via Reservoir Rd, Grand Junction Rd, North East Rd and Frome Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F271&auth=j8D5bO0DHzyRjdeOf24FFQ&profile=_default&rank=103&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
103,273 - Paradise Interchange to City,"via Sudholz Rd, North East Rd and Frome Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F273&auth=PyhAYHKyfwWS9KXZrf8rKg&profile=_default&rank=104&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
104,281 - Paradise Interchange to City,"via Paradise, McLauchlan Rd, Fourth Ave, Walkerville Tce and Hackney Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F281&auth=icpbcVhwlZkX%2FggQEcvLJw&profile=_default&rank=105&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
105,281K - City to Klemzig,"via Hackney Rd, Walkerville Tce and O.G. Rd (terminates at stop 17 O.G. Rd, Klemzig)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F281k&auth=vjiTTbeM5qswH0KPYkxuhg&profile=_default&rank=106&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
106,286 - Henley Beach to City,"via Cheadle St, Valetta Rd, Hartley Rd and Ashley St (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F286&auth=b1cWd%2Bjq1I7MmzCIHawh6w&profile=_default&rank=107&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
107,286A - City to Underdale,"via Ashley St (terminates at stop 12 Ashley St, Underdale)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F286a&auth=%2F5d2QmpNd5efyXhLn9oPCQ&profile=_default&rank=108&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
108,287 - Henley Beach to City,"via Marlborough St, Valetta Rd and Ashley St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F287&auth=OW7CmB0eIB494Z59z9fzCA&profile=_default&rank=109&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
109,288 - West Lakes Centre Interchange to City,"via Tapleys Hill Rd, Valetta Rd and Ashley St (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F288&auth=bpZDoiqv8NEPUkWKz%2FYEPw&profile=_default&rank=110&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
110,288S - City to Seaton,"via Ashley St, Valetta Rd and Tapleys Hill Rd (terminates at stop 28B Tapleys Hill Road, Seaton)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F288s&auth=6vfB26iEYWhLrxiSdn9pXg&profile=_default&rank=111&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
111,300 - Suburban Connector,"via Arndale, Regency Rd, O.G. Rd, Portrush Rd, Cross Rd, Springbank Rd, Flinders University, Flinders Medical Centre, Marion, Glenelg, Harbour Town, Seaview Rd, Henley Beach, Grange Rd, Findon Rd and Queen Elizabeth Hospital",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F300&auth=vXA6v%2BYcW%2BBrmaD9jr81cQ&profile=_default&rank=112&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
112,300C - Suburban Connector,"Terminates at stop 165 Cross Rd, Urrbrae",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F300c&auth=DeA5ktFs649%2FziCXMU4o%2Bg&profile=_default&rank=113&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
113,300G - Suburban Connector,Terminates at Glenelg Interchange,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F300g&auth=aYX9xvBjGZyX3ssbAYoiaA&profile=_default&rank=114&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
114,300H - Suburban Connector,"Terminates at stop 19/19A Portrush Rd, Glen Osmond",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F300h&auth=n8%2FzIf05zOD06IeX55xITg&profile=_default&rank=115&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
115,300J - Suburban Connector,"Terminates at stop 17 O.G. Rd, Klemzig",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F300j&auth=toe%2B7Y4VijMG6%2B3xRT3R4A&profile=_default&rank=116&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
116,300M - Suburban Connector,Terminates at Marion Centre Interchange,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F300m&auth=izsHVS%2B5z6zZd6WgpZXAzA&profile=_default&rank=117&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
117,300U - Suburban Connector,"Terminates at Flinders University, continues as route G10 to the city",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F300u&auth=aqHLjrFYjcy%2BAItY1eReqQ&profile=_default&rank=118&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
118,320 - Aberfoyle Hub to Marion Centre Interchange,"via Aberfoyle Hub, Oakridge Rd, Flagstaff Rd and Flinders Medical Centre",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F320&auth=LVur0GI0JrHsj1d2JZ8SFQ&profile=_default&rank=119&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
119,333 - North Haven to Port Adelaide Interchange,"via Military Rd, Hart St and Glanville Station (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F333&auth=%2BWgryc2Ldu6MyKHx44dmEA&profile=_default&rank=120&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
120,361 - Port Adelaide to Tea Tree Plaza,"via Grand Junction Rd, Nelson Rd, Helen Tce and Smart Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F361&auth=Hdl0e1K%2F%2F6SMO98VPizlTA&profile=_default&rank=121&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
121,371 - West Lakes Centre Interchange Clockwise Loop,"via West Lakes Blvd, Frederick Rd, Clark Tce, Trimmer Pde and Military Rd (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F371&auth=flBbqkaNulxdpP5O6Aby%2Fw&profile=_default&rank=122&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
122,372 - West Lakes Centre Interchange Anti-Clockwise Loop,"via West Lakes Blvd, Frederick Rd, Clark Tce, Trimmer Pde and Military Rd (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F372&auth=M3o2Q0n2ER5J6xbEdJiOyw&profile=_default&rank=123&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
123,376 - West Lakes Centre Interchange to Delfin Island Anti-Clockwise Loop,"via West Lakes Blvd, Island Dr, Corcoran Dr and Delfin Dr (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F376&auth=UHLv4OTjHdYkd%2BWQKrahpg&profile=_default&rank=124&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
124,400 - Elizabeth Interchange to Salisbury North,"via John Rice Ave, Salisbury, Waterloo Corner Rd and Boliver Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F400&auth=siEDjsh4Ugh3U50Xk6v3ZA&profile=_default&rank=125&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
125,400A - Elizabeth Interchange to Salisbury,"via John Rice Ave and Salisbury (terminates at Ann St, Salisbury)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F400a&auth=8rU4x20eJHwFBNCyRT25mQ&profile=_default&rank=126&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
126,401 - Paralowie to Salisbury,"via Bolivar Rd, Burton Rd, Springbank Blvd and Waterloo Corner Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F401&auth=zxV0Ezvd%2BH0PzFwN%2BqVzAw&profile=_default&rank=127&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
127,403 - Salisbury North to Salisbury,via Waterloo Corner Rd (operates Monday - Friday excluding public holidays),https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F403&auth=OsbV8Vz8cvOpmlqe5lhH2Q&profile=_default&rank=128&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
128,404 - Salisbury to Paralowie Anti-Clockwise Loop,"via Waterloo Corner Rd, Whites Rd, Winzor St and Salisbury Hwy",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F404&auth=I8tlifgjd1xcUxA%2B%2Fx9%2FEA&profile=_default&rank=129&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
129,404R - Salisbury to Paralowie Anti-Clockwise Loop,"via Waterloo Corner Rd, Whites Rd, Rundle Dr, Winzor St and Salisbury Hwy (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F404r&auth=%2BUw7b1BP2fRl6DNL8xOXRg&profile=_default&rank=130&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
