Futures		Contract		Contract		Futures		Options		Options
Code		Month		Type		Exp Date		Code		Exp Date
-------		-------		-------		-------		-------		-------		
CL		2021-10		Fut		2021-09-21		 		 
CL		2021-11		Fut		2021-10-20		 		 
CL		2021-12		Fut		2021-11-19		 		 
CL		2022-01		Fut		2021-12-20		 		 
CL		2022-02		Fut		2022-01-20		 		 
CL		2022-03		Fut		2022-02-22		 		 
CL		2022-04		Fut		2022-03-22		 		 
CL		2022-05		Fut		2022-04-20		 		 
CL		2022-06		Fut		2022-05-20		 		 
CL		2022-07		Fut		2022-06-21		 		 
CL		2022-08		Fut		2022-07-20		 		 
CL		2022-09		Fut		2022-08-22		 		 
CL		2022-10		Fut		2022-09-20		 		 
CL		2022-11		Fut		2022-10-20		 		 
CL		2022-12		Fut		2022-11-21		 		 
CL		2023-01		Fut		2022-12-20		 		 
CL		2023-02		Fut		2023-01-20		 		 
CL		2023-03		Fut		2023-02-21		 		 
CL		2023-04		Fut		2023-03-21		 		 
CL		2023-05		Fut		2023-04-20		 		 
CL		2023-06		Fut		2023-05-22		 		 
CL		2023-07		Fut		2023-06-20		 		 
CL		2023-08		Fut		2023-07-20		 		 
CL		2023-09		Fut		2023-08-22		 		 
CL		2023-10		Fut		2023-09-20		 		 
CL		2023-11		Fut		2023-10-20		 		 
CL		2023-12		Fut		2023-11-20		 		 
CL		2021-10		Opt		 		LO		2021-09-16
CL		2021-11		Opt		 		LO		2021-10-15
CL		2021-12		Opt		 		LO		2021-11-16
CL		2022-01		Opt		 		LO		2021-12-15
CL		2022-02		Opt		 		LO		2022-01-14
CL		2022-03		Opt		 		LO		2022-02-16
CL		2022-04		Opt		 		LO		2022-03-17
CL		2022-05		Opt		 		LO		2022-04-14
CL		2022-06		Opt		 		LO		2022-05-17
CL		2022-07		Opt		 		LO		2022-06-16
CL		2022-08		Opt		 		LO		2022-07-15
CL		2022-09		Opt		 		LO		2022-08-17
CL		2022-10		Opt		 		LO		2022-09-15
CL		2022-11		Opt		 		LO		2022-10-17
CL		2022-12		Opt		 		LO		2022-11-16
CL		2023-01		Opt		 		LO		2022-12-15
CL		2023-02		Opt		 		LO		2023-01-17
CL		2023-03		Opt		 		LO		2023-02-15
CL		2023-04		Opt		 		LO		2023-03-16
CL		2023-05		Opt		 		LO		2023-04-17
CL		2023-06		Opt		 		LO		2023-05-17
CL		2023-07		Opt		 		LO		2023-06-15
CL		2023-08		Opt		 		LO		2023-07-17
CL		2023-09		Opt		 		LO		2023-08-17
CL		2023-12		Opt		 		LO		2023-11-15

Futures		Contract		Contract		Strike		Settlement
CL		2022-02		Call		18.00		49.92
CL		2022-02		Put		18.00		0.01
CL		2022-02		Call		18.50		49.42
CL		2022-02		Put		18.50		0.01
CL		2022-02		Call		19.00		48.92
CL		2022-02		Put		19.00		0.01
CL		2022-02		Call		19.50		48.43
CL		2022-02		Put		19.50		0.02
CL		2022-02		Call		20.00		47.93
CL		2022-02		Put		20.00		0.01
CL		2022-02		Call		20.50		47.43
CL		2022-02		Put		20.50		0.02
CL		2022-02		Call		21.00		46.93
CL		2022-02		Put		21.00		0.03
CL		2022-02		Call		21.50		46.44
CL		2022-02		Put		21.50		0.03
CL		2022-02		Call		22.00		45.94
CL		2022-02		Put		22.00		0.03
CL		2022-02		Call		22.50		45.44
CL		2022-02		Put		22.50		0.03
CL		2022-02		Call		23.00		44.94
CL		2022-02		Put		23.00		0.03
CL		2022-02		Call		23.50		44.44
CL		2022-02		Put		23.50		0.04
CL		2022-02		Call		24.00		43.95
CL		2022-02		Put		24.00		0.04
CL		2022-02		Call		24.50		43.45
CL		2022-02		Put		24.50		0.04
CL		2022-02		Call		25.00		42.95
CL		2022-02		Put		25.00		0.04
CL		2022-02		Call		25.50		42.46
CL		2022-02		Put		25.50		0.05
CL		2022-02		Call		26.00		41.96
CL		2022-02		Put		26.00		0.05
CL		2022-02		Call		26.50		41.46
CL		2022-02		Put		26.50		0.05
CL		2022-02		Call		27.00		40.97
CL		2022-02		Put		27.00		0.06
CL		2022-02		Call		27.50		40.47
CL		2022-02		Put		27.50		0.06
CL		2022-02		Call		28.00		39.98
CL		2022-02		Put		28.00		0.07
CL		2022-02		Call		28.50		39.48
CL		2022-02		Put		28.50		0.07
CL		2022-02		Call		29.00		38.98
CL		2022-02		Put		29.00		0.06
CL		2022-02		Call		29.50		38.49
CL		2022-02		Put		29.50		0.08
CL		2022-02		Call		30.00		38.00
CL		2022-02		Put		30.00		0.07
CL		2022-02		Call		30.50		37.50
CL		2022-02		Put		30.50		0.09
CL		2022-02		Call		31.00		37.00
CL		2022-02		Put		31.00		0.08
CL		2022-02		Call		31.50		36.50
CL		2022-02		Put		31.50		0.09
CL		2022-02		Call		32.00		36.01
CL		2022-02		Put		32.00		0.10
CL		2022-02		Call		32.50		35.51
CL		2022-02		Put		32.50		0.10
CL		2022-02		Call		33.00		35.02
CL		2022-02		Put		33.00		0.11
CL		2022-02		Call		33.50		34.53
CL		2022-02		Put		33.50		0.12
CL		2022-02		Call		34.00		34.04
CL		2022-02		Put		34.00		0.12
CL		2022-02		Call		34.50		33.54
CL		2022-02		Put		34.50		0.13
CL		2022-02		Call		35.00		33.05
CL		2022-02		Put		35.00		0.14
CL		2022-02		Call		35.50		32.56
CL		2022-02		Put		35.50		0.15
CL		2022-02		Call		36.00		32.06
CL		2022-02		Put		36.00		0.16
CL		2022-02		Call		36.50		31.77
CL		2022-02		Put		36.50		0.16
CL		2022-02		Call		37.00		31.28
CL		2022-02		Put		37.00		0.17
CL		2022-02		Call		37.50		30.59
CL		2022-02		Put		37.50		0.18
CL		2022-02		Call		38.00		30.11
CL		2022-02		Put		38.00		0.19
CL		2022-02		Call		38.50		29.62
CL		2022-02		Put		38.50		0.20
CL		2022-02		Call		39.00		29.13
CL		2022-02		Put		39.00		0.22
CL		2022-02		Call		39.50		28.64
CL		2022-02		Put		39.50		0.23
CL		2022-02		Call		40.00		28.15
CL		2022-02		Put		40.00		0.24
CL		2022-02		Call		40.50		27.67
CL		2022-02		Put		40.50		0.26
CL		2022-02		Call		41.00		27.18
CL		2022-02		Put		41.00		0.27
CL		2022-02		Call		41.50		26.69
CL		2022-02		Put		41.50		0.28
CL		2022-02		Call		42.00		26.21
CL		2022-02		Put		42.00		0.30
CL		2022-02		Call		42.50		25.73
CL		2022-02		Put		42.50		0.32
CL		2022-02		Call		43.00		25.44
CL		2022-02		Put		43.00		0.34
CL		2022-02		Call		43.50		24.77
CL		2022-02		Put		43.50		0.36
CL		2022-02		Call		44.00		24.29
CL		2022-02		Put		44.00		0.38
CL		2022-02		Call		44.50		23.81
CL		2022-02		Put		44.50		0.40
CL		2022-02		Call		45.00		23.34
CL		2022-02		Put		45.00		0.42
CL		2022-02		Call		45.50		22.87
CL		2022-02		Put		45.50		0.45
CL		2022-02		Call		46.00		22.58
CL		2022-02		Put		46.00		0.48
CL		2022-02		Call		46.50		22.11
CL		2022-02		Put		46.50		0.50
CL		2022-02		Call		47.00		21.46
CL		2022-02		Put		47.00		0.54
CL		2022-02		Call		47.50		20.99
CL		2022-02		Put		47.50		0.57
CL		2022-02		Call		48.00		20.71
CL		2022-02		Put		48.00		0.60
CL		2022-02		Call		48.50		20.05
CL		2022-02		Put		48.50		0.64
CL		2022-02		Call		49.00		19.60
CL		2022-02		Put		49.00		0.68
CL		2022-02		Call		49.50		19.32
CL		2022-02		Put		49.50		0.72
CL		2022-02		Call		50.00		18.87
CL		2022-02		Put		50.00		0.76
CL		2022-02		Call		50.50		18.23
CL		2022-02		Put		50.50		0.81
CL		2022-02		Call		51.00		17.77
CL		2022-02		Put		51.00		0.85
CL		2022-02		Call		51.50		17.33
CL		2022-02		Put		51.50		0.90
CL		2022-02		Call		52.00		16.88
CL		2022-02		Put		52.00		0.96
CL		2022-02		Call		52.50		16.43
CL		2022-02		Put		52.50		1.01
CL		2022-02		Call		53.00		16.00
CL		2022-02		Put		53.00		1.07
CL		2022-02		Call		53.50		15.56
CL		2022-02		Put		53.50		1.13
CL		2022-02		Call		54.00		15.13
CL		2022-02		Put		54.00		1.20
CL		2022-02		Call		54.50		14.69
CL		2022-02		Put		54.50		1.27
CL		2022-02		Call		55.00		14.45
CL		2022-02		Put		55.00		1.34
CL		2022-02		Call		55.50		13.85
CL		2022-02		Put		55.50		1.41
CL		2022-02		Call		56.00		13.60
CL		2022-02		Put		56.00		1.49
CL		2022-02		Call		56.50		13.18
CL		2022-02		Put		56.50		1.58
CL		2022-02		Call		57.00		12.77
CL		2022-02		Put		57.00		1.66
CL		2022-02		Call		57.50		12.36
CL		2022-02		Put		57.50		1.76
CL		2022-02		Call		58.00		11.96
CL		2022-02		Put		58.00		1.85
CL		2022-02		Call		58.50		11.56
CL		2022-02		Put		58.50		1.95
CL		2022-02		Call		59.00		11.01
CL		2022-02		Put		59.00		2.06
CL		2022-02		Call		59.50		10.62
CL		2022-02		Put		59.50		2.17
CL		2022-02		Call		60.00		10.39
CL		2022-02		Put		60.00		2.28
CL		2022-02		Call		60.50		10.01
CL		2022-02		Put		60.50		2.40
CL		2022-02		Call		61.00		9.64
CL		2022-02		Put		61.00		2.53
CL		2022-02		Call		61.50		9.27
CL		2022-02		Put		61.50		2.66
CL		2022-02		Call		62.00		8.91
CL		2022-02		Put		62.00		2.80
CL		2022-02		Call		62.50		8.55
CL		2022-02		Put		62.50		2.94
CL		2022-02		Call		63.00		8.20
CL		2022-02		Put		63.00		3.09
CL		2022-02		Call		63.50		7.86
CL		2022-02		Put		63.50		3.25
CL		2022-02		Call		64.00		7.52
CL		2022-02		Put		64.00		3.41
CL		2022-02		Call		64.50		7.19
CL		2022-02		Put		64.50		3.58
CL		2022-02		Call		65.00		6.87
CL		2022-02		Put		65.00		3.76
CL		2022-02		Call		65.50		6.56
CL		2022-02		Put		65.50		3.95
CL		2022-02		Call		66.00		6.25
CL		2022-02		Put		66.00		4.14
CL		2022-02		Call		66.50		5.95
CL		2022-02		Put		66.50		4.34
CL		2022-02		Call		67.00		5.66
CL		2022-02		Put		67.00		4.55
CL		2022-02		Call		67.50		5.38
CL		2022-02		Put		67.50		4.77
CL		2022-02		Call		68.00		5.11
CL		2022-02		Put		68.00		5.00
CL		2022-02		Call		68.50		4.85
CL		2022-02		Put		68.50		5.24
CL		2022-02		Call		69.00		4.59
CL		2022-02		Put		69.00		5.48
CL		2022-02		Call		69.50		4.35
CL		2022-02		Put		69.50		5.74
CL		2022-02		Call		70.00		4.11
CL		2022-02		Put		70.00		6.00
CL		2022-02		Call		70.50		3.89
CL		2022-02		Put		70.50		6.28
CL		2022-02		Call		71.00		3.67
CL		2022-02		Put		71.00		6.56
CL		2022-02		Call		71.50		3.46
CL		2022-02		Put		71.50		6.85
CL		2022-02		Call		72.00		3.26
CL		2022-02		Put		72.00		7.15
CL		2022-02		Call		72.50		3.07
CL		2022-02		Put		72.50		7.57
CL		2022-02		Call		73.00		2.89
CL		2022-02		Put		73.00		7.90
CL		2022-02		Call		73.50		2.71
CL		2022-02		Put		73.50		8.22
CL		2022-02		Call		74.00		2.55
CL		2022-02		Put		74.00		8.56
CL		2022-02		Call		74.50		2.31
CL		2022-02		Put		74.50		8.78
CL		2022-02		Call		75.00		2.25
CL		2022-02		Put		75.00		9.14
CL		2022-02		Call		75.50		2.11
CL		2022-02		Put		75.50		9.61
CL		2022-02		Call		76.00		1.98
CL		2022-02		Put		76.00		9.99
CL		2022-02		Call		76.50		1.85
CL		2022-02		Put		76.50		10.36
CL		2022-02		Call		77.00		1.74
CL		2022-02		Put		77.00		10.62
CL		2022-02		Call		77.50		1.62
CL		2022-02		Put		77.50		11.01
CL		2022-02		Call		78.00		1.52
CL		2022-02		Put		78.00		11.41
CL		2022-02		Call		78.50		1.43
CL		2022-02		Put		78.50		11.81
CL		2022-02		Call		79.00		1.34
CL		2022-02		Put		79.00		12.22
CL		2022-02		Call		79.50		1.25
CL		2022-02		Put		79.50		12.76
CL		2022-02		Call		80.00		1.18
CL		2022-02		Put		80.00		13.06
CL		2022-02		Call		80.50		1.11
CL		2022-02		Put		80.50		13.49
CL		2022-02		Call		81.00		1.04
CL		2022-02		Put		81.00		14.05
CL		2022-02		Call		81.50		0.97
CL		2022-02		Put		81.50		14.49
CL		2022-02		Call		82.00		0.91
CL		2022-02		Put		82.00		14.93
CL		2022-02		Call		82.50		0.86
CL		2022-02		Put		82.50		15.37
CL		2022-02		Call		83.00		0.81
CL		2022-02		Put		83.00		15.70
CL		2022-02		Call		83.50		0.76
CL		2022-02		Put		83.50		16.28
CL		2022-02		Call		84.00		0.72
CL		2022-02		Put		84.00		16.61
CL		2022-02		Call		84.50		0.68
CL		2022-02		Put		84.50		17.20
CL		2022-02		Call		85.00		0.65
CL		2022-02		Put		85.00		17.53
CL		2022-02		Call		85.50		0.61
CL		2022-02		Put		85.50		18.13
CL		2022-02		Call		86.00		0.58
CL		2022-02		Put		86.00		18.60
CL		2022-02		Call		86.50		0.55
CL		2022-02		Put		86.50		18.94
CL		2022-02		Call		87.00		0.52
CL		2022-02		Put		87.00		19.54
CL		2022-02		Call		87.50		0.50
CL		2022-02		Put		87.50		20.02
CL		2022-02		Call		88.00		0.47
CL		2022-02		Put		88.00		20.49
CL		2022-02		Call		88.50		0.45
CL		2022-02		Put		88.50		20.84
CL		2022-02		Call		89.00		0.37
CL		2022-02		Put		89.00		21.45
CL		2022-02		Call		89.50		0.41
CL		2022-02		Put		89.50		21.93
CL		2022-02		Call		90.00		0.39
CL		2022-02		Put		90.00		22.42
CL		2022-02		Call		90.50		0.37
CL		2022-02		Put		90.50		22.91
CL		2022-02		Call		91.00		0.36
CL		2022-02		Put		91.00		23.39
CL		2022-02		Call		91.50		0.34
CL		2022-02		Put		91.50		23.87
CL		2022-02		Call		92.00		0.33
CL		2022-02		Put		92.00		24.36
CL		2022-02		Call		92.50		0.26
CL		2022-02		Put		92.50		24.85
CL		2022-02		Call		93.00		0.31
CL		2022-02		Put		93.00		25.34
CL		2022-02		Call		93.50		0.29
CL		2022-02		Put		93.50		25.83
CL		2022-02		Call		94.00		0.28
CL		2022-02		Put		94.00		26.32
CL		2022-02		Call		94.50		0.27
CL		2022-02		Put		94.50		26.81
CL		2022-02		Call		95.00		0.26
CL		2022-02		Put		95.00		27.30
CL		2022-02		Call		95.50		0.25
CL		2022-02		Put		95.50		27.79
CL		2022-02		Call		96.00		0.20
CL		2022-02		Put		96.00		28.29
CL		2022-02		Call		96.50		0.19
CL		2022-02		Put		96.50		28.78
CL		2022-02		Call		97.00		0.19
CL		2022-02		Put		97.00		29.28
CL		2022-02		Call		97.50		0.22
CL		2022-02		Put		97.50		29.77
CL		2022-02		Call		98.00		0.22
CL		2022-02		Put		98.00		30.26
CL		2022-02		Call		98.50		0.17
CL		2022-02		Put		98.50		30.76
CL		2022-02		Call		99.00		0.20
CL		2022-02		Put		99.00		31.25
CL		2022-02		Call		99.50		0.16
CL		2022-02		Put		99.50		31.75
CL		2022-02		Call		100.00		0.19
CL		2022-02		Put		100.00		32.08
CL		2022-02		Call		100.50		0.15
CL		2022-02		Put		100.50		32.74
CL		2022-02		Call		101.00		0.18
CL		2022-02		Put		101.00		33.23
CL		2022-02		Call		101.50		0.14
CL		2022-02		Put		101.50		33.73
CL		2022-02		Call		102.00		0.17
CL		2022-02		Put		102.00		34.23
CL		2022-02		Call		102.50		0.13
CL		2022-02		Put		102.50		34.72
CL		2022-02		Call		103.00		0.13
CL		2022-02		Put		103.00		35.22
CL		2022-02		Call		103.50		0.13
CL		2022-02		Put		103.50		35.72
CL		2022-02		Call		104.00		0.12
CL		2022-02		Put		104.00		36.21
CL		2022-02		Call		104.50		0.15
CL		2022-02		Put		104.50		36.71
CL		2022-02		Call		105.00		0.14
CL		2022-02		Put		105.00		37.20
CL		2022-02		Call		105.50		0.11
CL		2022-02		Put		105.50		37.70
CL		2022-02		Call		106.00		0.14
CL		2022-02		Put		106.00		38.19
CL		2022-02		Call		106.50		0.10
CL		2022-02		Put		106.50		38.69
CL		2022-02		Call		107.00		0.13
CL		2022-02		Put		107.00		39.19
CL		2022-02		Call		107.50		0.12
CL		2022-02		Put		107.50		39.69
CL		2022-02		Call		108.00		0.10
CL		2022-02		Put		108.00		40.19
CL		2022-02		Call		108.50		0.12
CL		2022-02		Put		108.50		40.68
CL		2022-02		Call		109.00		0.12
CL		2022-02		Put		109.00		41.18
CL		2022-02		Call		109.50		0.09
CL		2022-02		Put		109.50		41.68
CL		2022-02		Call		110.00		0.11
CL		2022-02		Put		110.00		42.17
CL		2022-02		Call		110.50		0.08
CL		2022-02		Put		110.50		42.67
CL		2022-02		Call		111.00		0.08
CL		2022-02		Put		111.00		43.17
CL		2022-02		Call		111.50		0.08
CL		2022-02		Put		111.50		43.67
CL		2022-02		Call		112.00		0.08
CL		2022-02		Put		112.00		44.17
CL		2022-02		Call		112.50		0.08
CL		2022-02		Put		112.50		44.67
CL		2022-02		Call		113.00		0.07
CL		2022-02		Put		113.00		45.16
CL		2022-02		Call		113.50		0.07
CL		2022-02		Put		113.50		45.66
CL		2022-02		Call		114.00		0.07
CL		2022-02		Put		114.00		46.16
CL		2022-02		Call		114.50		0.07
CL		2022-02		Put		114.50		46.66
CL		2022-02		Call		115.00		0.09
CL		2022-02		Put		115.00		47.16
CL		2022-02		Call		115.50		0.07
CL		2022-02		Put		115.50		47.66
CL		2022-02		Call		116.00		0.07
CL		2022-02		Put		116.00		48.15
CL		2022-02		Call		116.50		0.06
CL		2022-02		Put		116.50		48.65
CL		2022-02		Call		117.00		0.06
CL		2022-02		Put		117.00		49.15
CL		2022-02		Call		117.50		0.06
CL		2022-02		Put		117.50		49.65
CL		2022-02		Call		118.00		0.07
CL		2022-02		Put		118.00		50.15
CL		2022-02		Call		118.50		0.06
CL		2022-02		Put		118.50		50.65
CL		2022-02		Call		119.00		0.06
CL		2022-02		Put		119.00		51.14
CL		2022-02		Call		119.50		0.05
CL		2022-02		Put		119.50		51.64
CL		2022-02		Call		120.00		0.07
CL		2022-02		Put		120.00		52.14
CL		2022-02		Call		120.50		0.06
CL		2022-02		Put		120.50		52.64
CL		2022-02		Call		122.50		0.06
CL		2022-02		Put		122.50		54.63
CL		2022-02		Call		125.00		0.05
CL		2022-02		Put		125.00		57.13
CL		2022-02		Call		127.50		0.04
CL		2022-02		Put		127.50		59.63
CL		2022-02		Call		130.00		0.04
CL		2022-02		Put		130.00		62.12
CL		2022-02		Call		132.50		0.03
CL		2022-02		Put		132.50		64.62
CL		2022-02		Call		135.00		0.02
CL		2022-02		Put		135.00		67.11
CL		2022-02		Call		137.50		0.02
CL		2022-02		Put		137.50		69.61
CL		2022-02		Call		140.00		0.02
CL		2022-02		Put		140.00		72.10
CL		2022-02		Call		142.50		0.01
CL		2022-02		Put		142.50		74.60
CL		2022-02		Call		145.00		0.01
CL		2022-02		Put		145.00		77.10
CL		2022-02		Call		147.50		0.01
CL		2022-02		Put		147.50		79.60
CL		2022-02		Call		150.00		0.01
CL		2022-02		Put		150.00		82.10
CL		2022-02		Call		152.50		0.01
CL		2022-02		Put		152.50		84.60
CL		2022-02		Call		155.00		0.01
CL		2022-02		Put		155.00		87.09
CL		2022-02		Call		157.50		0.01
CL		2022-02		Put		157.50		89.59
CL		2022-02		Call		160.00		0.01
CL		2022-02		Put		160.00		92.09
CL		2022-02		Call		162.50		0.01
CL		2022-02		Put		162.50		94.59
CL		2022-02		Call		165.00		0.01
CL		2022-02		Put		165.00		97.09
CL		2022-02		Call		167.50		0.01
CL		2022-02		Put		167.50		99.59
CL		2022-02		Call		170.00		0.01
CL		2022-02		Put		170.00		102.09
CL		2022-02		Call		175.00		0.01
CL		2022-02		Put		175.00		107.09
CL		2022-02		Call		180.00		0.01
CL		2022-02		Put		180.00		112.09
CL		2022-02		Call		185.00		0.01
CL		2022-02		Put		185.00		117.09
CL		2022-02		Call		190.00		0.01
CL		2022-02		Put		190.00		122.09
CL		2022-02		Call		195.00		0.01
CL		2022-02		Put		195.00		127.09
CL		2022-02		Call		200.00		0.01
CL		2022-02		Put		200.00		132.09
CL		2022-03		Call		0.50		67.03
CL		2022-03		Put		0.50		0.01
CL		2022-03		Call		1.00		66.53
CL		2022-03		Put		1.00		0.01
CL		2022-03		Call		1.50		66.03
CL		2022-03		Put		1.50		0.01
CL		2022-03		Call		2.00		65.53
CL		2022-03		Put		2.00		0.01
CL		2022-03		Call		2.50		65.03
CL		2022-03		Put		2.50		0.01
CL		2022-03		Call		3.00		64.53
CL		2022-03		Put		3.00		0.01
CL		2022-03		Call		3.50		64.03
CL		2022-03		Put		3.50		0.01
CL		2022-03		Call		4.00		63.53
CL		2022-03		Put		4.00		0.01
CL		2022-03		Call		4.50		63.03
CL		2022-03		Put		4.50		0.01
CL		2022-03		Call		5.00		62.53
CL		2022-03		Put		5.00		0.01
CL		2022-03		Call		5.50		62.03
CL		2022-03		Put		5.50		0.01
CL		2022-03		Call		6.00		61.53
CL		2022-03		Put		6.00		0.01
CL		2022-03		Call		6.50		61.03
CL		2022-03		Put		6.50		0.01
CL		2022-03		Call		7.00		60.53
CL		2022-03		Put		7.00		0.01
CL		2022-03		Call		7.50		60.03
CL		2022-03		Put		7.50		0.01
CL		2022-03		Call		8.00		59.53
CL		2022-03		Put		8.00		0.01
CL		2022-03		Call		8.50		59.04
CL		2022-03		Put		8.50		0.01
CL		2022-03		Call		9.00		58.54
CL		2022-03		Put		9.00		0.01
CL		2022-03		Call		9.50		58.04
CL		2022-03		Put		9.50		0.02
CL		2022-03		Call		10.00		57.55
CL		2022-03		Put		10.00		0.02
CL		2022-03		Call		10.50		57.05
CL		2022-03		Put		10.50		0.02
CL		2022-03		Call		11.00		56.55
CL		2022-03		Put		11.00		0.02
CL		2022-03		Call		11.50		56.05
CL		2022-03		Put		11.50		0.03
CL		2022-03		Call		12.00		55.56
CL		2022-03		Put		12.00		0.03
CL		2022-03		Call		12.50		55.06
CL		2022-03		Put		12.50		0.03
CL		2022-03		Call		13.00		54.56
CL		2022-03		Put		13.00		0.03
CL		2022-03		Call		13.50		54.06
CL		2022-03		Put		13.50		0.03
CL		2022-03		Call		14.00		53.56
CL		2022-03		Put		14.00		0.03
CL		2022-03		Call		14.50		53.06
CL		2022-03		Put		14.50		0.03
CL		2022-03		Call		15.00		52.56
CL		2022-03		Put		15.00		0.04
CL		2022-03		Call		15.50		52.06
CL		2022-03		Put		15.50		0.03
CL		2022-03		Call		16.00		51.56
CL		2022-03		Put		16.00		0.03
CL		2022-03		Call		16.50		51.06
CL		2022-03		Put		16.50		0.04
CL		2022-03		Call		17.00		50.57
CL		2022-03		Put		17.00		0.04
CL		2022-03		Call		17.50		50.07
CL		2022-03		Put		17.50		0.04
CL		2022-03		Call		18.00		49.57
CL		2022-03		Put		18.00		0.04
CL		2022-03		Call		18.50		49.07
CL		2022-03		Put		18.50		0.04
CL		2022-03		Call		19.00		48.57
CL		2022-03		Put		19.00		0.04
CL		2022-03		Call		19.50		48.07
CL		2022-03		Put		19.50		0.04
CL		2022-03		Call		20.00		47.57
CL		2022-03		Put		20.00		0.06
CL		2022-03		Call		20.50		47.07
CL		2022-03		Put		20.50		0.05
CL		2022-03		Call		21.00		46.58
CL		2022-03		Put		21.00		0.05
CL		2022-03		Call		21.50		46.08
CL		2022-03		Put		21.50		0.05
CL		2022-03		Call		22.00		45.58
CL		2022-03		Put		22.00		0.06
CL		2022-03		Call		22.50		45.09
CL		2022-03		Put		22.50		0.06
CL		2022-03		Call		23.00		44.59
CL		2022-03		Put		23.00		0.06
CL		2022-03		Call		23.50		44.10
CL		2022-03		Put		23.50		0.07
CL		2022-03		Call		24.00		43.60
CL		2022-03		Put		24.00		0.07
CL		2022-03		Call		24.50		43.11
CL		2022-03		Put		24.50		0.08
CL		2022-03		Call		25.00		42.61
CL		2022-03		Put		25.00		0.08
CL		2022-03		Call		25.50		42.12
CL		2022-03		Put		25.50		0.09
CL		2022-03		Call		26.00		41.62
CL		2022-03		Put		26.00		0.10
CL		2022-03		Call		26.50		41.13
CL		2022-03		Put		26.50		0.10
CL		2022-03		Call		27.00		40.64
CL		2022-03		Put		27.00		0.10
CL		2022-03		Call		27.50		40.14
CL		2022-03		Put		27.50		0.11
CL		2022-03		Call		28.00		39.64
CL		2022-03		Put		28.00		0.11
CL		2022-03		Call		28.50		39.15
CL		2022-03		Put		28.50		0.11
CL		2022-03		Call		29.00		38.65
CL		2022-03		Put		29.00		0.12
CL		2022-03		Call		29.50		38.16
CL		2022-03		Put		29.50		0.13
CL		2022-03		Call		30.00		37.67
CL		2022-03		Put		30.00		0.13
CL		2022-03		Call		30.50		37.17
CL		2022-03		Put		30.50		0.14
CL		2022-03		Call		31.00		36.68
CL		2022-03		Put		31.00		0.15
CL		2022-03		Call		31.50		36.19
CL		2022-03		Put		31.50		0.15
CL		2022-03		Call		32.00		35.69
CL		2022-03		Put		32.00		0.16
CL		2022-03		Call		32.50		35.20
CL		2022-03		Put		32.50		0.17
CL		2022-03		Call		33.00		34.71
CL		2022-03		Put		33.00		0.18
CL		2022-03		Call		33.50		34.22
CL		2022-03		Put		33.50		0.19
CL		2022-03		Call		34.00		33.73
CL		2022-03		Put		34.00		0.20
CL		2022-03		Call		34.50		33.24
CL		2022-03		Put		34.50		0.21
CL		2022-03		Call		35.00		32.96
CL		2022-03		Put		35.00		0.22
CL		2022-03		Call		35.50		32.27
CL		2022-03		Put		35.50		0.24
CL		2022-03		Call		36.00		31.78
CL		2022-03		Put		36.00		0.24
CL		2022-03		Call		36.50		31.29
CL		2022-03		Put		36.50		0.26
CL		2022-03		Call		37.00		31.01
CL		2022-03		Put		37.00		0.27
CL		2022-03		Call		37.50		30.31
CL		2022-03		Put		37.50		0.29
CL		2022-03		Call		38.00		29.83
CL		2022-03		Put		38.00		0.30
CL		2022-03		Call		38.50		29.35
CL		2022-03		Put		38.50		0.32
CL		2022-03		Call		39.00		28.86
CL		2022-03		Put		39.00		0.33
CL		2022-03		Call		39.50		28.38
CL		2022-03		Put		39.50		0.35
CL		2022-03		Call		40.00		28.12
CL		2022-03		Put		40.00		0.37
CL		2022-03		Call		40.50		27.64
CL		2022-03		Put		40.50		0.39
CL		2022-03		Call		41.00		27.16
CL		2022-03		Put		41.00		0.41
CL		2022-03		Call		41.50		26.46
CL		2022-03		Put		41.50		0.44
CL		2022-03		Call		42.00		25.99
CL		2022-03		Put		42.00		0.46
CL		2022-03		Call		42.50		25.52
CL		2022-03		Put		42.50		0.49
CL		2022-03		Call		43.00		25.04
CL		2022-03		Put		43.00		0.51
CL		2022-03		Call		43.50		24.79
CL		2022-03		Put		43.50		0.54
CL		2022-03		Call		44.00		24.31
CL		2022-03		Put		44.00		0.57
CL		2022-03		Call		44.50		23.85
CL		2022-03		Put		44.50		0.60
CL		2022-03		Call		45.00		23.38
CL		2022-03		Put		45.00		0.63
CL		2022-03		Call		45.50		22.91
CL		2022-03		Put		45.50		0.67
CL		2022-03		Call		46.00		22.45
CL		2022-03		Put		46.00		0.71
CL		2022-03		Call		46.50		21.99
CL		2022-03		Put		46.50		0.74
CL		2022-03		Call		47.00		21.53
CL		2022-03		Put		47.00		0.78
CL		2022-03		Call		47.50		21.07
CL		2022-03		Put		47.50		0.83
CL		2022-03		Call		48.00		20.41
CL		2022-03		Put		48.00		0.87
CL		2022-03		Call		48.50		20.17
CL		2022-03		Put		48.50		0.92
CL		2022-03		Call		49.00		19.72
CL		2022-03		Put		49.00		0.97
CL		2022-03		Call		49.50		19.27
CL		2022-03		Put		49.50		1.02
CL		2022-03		Call		50.00		18.82
CL		2022-03		Put		50.00		1.08
CL		2022-03		Call		50.50		18.38
CL		2022-03		Put		50.50		1.13
CL		2022-03		Call		51.00		17.94
CL		2022-03		Put		51.00		1.19
